#EPIC,    ra,        dec,      Kp,   list
60019125, 0.31134, -0.2827, 14.3, cool_star
60019126, 358.57979, -1.976, 14.3, cool_star
60019147, 355.35065, -8.82421, 14.3, cool_star
60019150, 355.62647, -8.45766, 14.3, cool_star
60019151, 1.68321, -8.22134, 14.3, cool_star
60019152, 359.63612, -8.7545, 14.3, cool_star
60019155, 359.37025, -8.61281, 14.3, cool_star
60019157, 355.29965, -7.73368, 14.3, cool_star
60019158, 352.04107, -4.46148, 14.3, cool_star
60019159, 353.50259, -6.30422, 14.3, cool_star
60019160, 3.68947, -6.04091, 14.3, cool_star
60019161, 0.61392, -7.70138, 14.3, cool_star
60019163, 352.68068, -3.14082, 14.3, cool_star
60019164, 355.36578, -6.05898, 14.3, cool_star
60019165, 353.17691, -3.25094, 14.3, cool_star
60019166, 358.71728, -6.28272, 14.3, cool_star
60019198, 2.05007, 4.473, 14.4, cool_star
60019199, 1.94119, 4.2373, 14.4, cool_star
60019202, 355.97292, 4.3864, 14.4, cool_star
60019203, 353.01273, 0.29316, 14.4, cool_star
60019205, 353.06483, 0.24673, 14.4, cool_star
60019206, 0.59633, 4.30193, 14.4, cool_star
60019207, 354.17451, 2.23705, 14.4, cool_star
60019209, 358.02794, 4.01755, 14.4, cool_star
60019216, 356.59736, 1.99511, 14.4, cool_star
60019217, 359.89097, 1.8609, 14.4, cool_star
60019219, 356.42927, 0.28249, 14.4, cool_star
60019221, 357.64882, 1.21662, 14.4, cool_star
60019228, 4.8111, -5.18014, 14.4, cool_star
60019230, 5.69944, -1.30189, 14.4, cool_star
60019231, 3.84692, -4.59127, 14.4, cool_star
60019233, 352.36036, 0.17622, 14.4, cool_star
60019234, 2.23259, -5.79212, 14.4, cool_star
60019238, 358.83119, -5.79384, 14.4, cool_star
60019239, 355.75341, -4.1656, 14.4, cool_star
60019240, 354.54205, -0.74728, 14.4, cool_star
60019241, 355.00935, -2.4256, 14.4, cool_star
60019244, 359.49108, -3.68946, 14.4, cool_star
60019251, 356.7471, -0.70796, 14.4, cool_star
60019252, 358.69484, -0.8363, 14.4, cool_star
60019265, 359.87785, -9.77821, 14.4, cool_star
60019271, 354.88393, -8.46854, 14.4, cool_star
60019276, 350.76232, -2.93635, 14.4, cool_star
60019278, 359.74655, -8.57836, 14.4, cool_star
60019281, 353.49833, -6.39828, 14.4, cool_star
60019283, 358.76799, -7.80253, 14.4, cool_star
60019284, 353.03423, -5.09056, 14.4, cool_star
60019286, 357.85589, -7.46197, 14.4, cool_star
60019287, 355.36585, -6.6889, 14.4, cool_star
60019289, 352.25253, -2.42494, 14.4, cool_star
60019291, 352.58497, -2.98452, 14.4, cool_star
60019292, 0.83836, -6.43071, 14.4, cool_star
60019295, 354.95265, -2.41342, 14.4, cool_star
60019296, 354.79937, -1.94201, 14.4, cool_star
60019329, 1.60505, 4.83754, 14.5, cool_star
60019346, 352.10238, 1.14789, 14.5, cool_star
60019350, 2.17916, 3.49232, 14.5, cool_star
60019351, 0.53843, 4.28647, 14.5, cool_star
60019353, 353.69574, 1.40808, 14.5, cool_star
60019354, 0.64426, 3.87966, 14.5, cool_star
